Division,Score
Southeastern Conference - West,36.6
Independent,34.5
Sun Belt Conference - East,34.4
Mid-American Conference - West,33.8
Big Ten Conference - East,33.5
Big Ten Conference - West,33.4
Big 12 Conference,31.5
Mid-American Conference - East,27.8
Atlantic Coast Conference - Atlantic,27.4
Atlantic Coast Conference - Coastal,25.2
Southeastern Conference - East,24.8
Pac-12 Conference - South,24.7
American Athletic Conference,24.7
Mountain West Conference - West,24.3
Independent - East,21.9
Mountain West Conference - Mountain,21.1
Pac-12 Conference - North,17.9
Conference USA - West,16.1
Sun Belt Conference - West,16.0
Conference USA - East,15.6
FCS,1.0
