Conference,Score
Independent,31.7
Atlantic Coast Conference,31.5
Big 12 Conference,28.6
American Athletic Conference,27.3
Mid-American Conference,25.9
Sun Belt Conference,24.5
Mountain West Conference,21.9
Pac-12 Conference,20.4
Southeastern Conference,19.0
Conference USA,18.6
Big Ten Conference,16.8
FCS,1.2
