Division,Score
Southeastern Conference - West,37.9
Independent,34.5
Sun Belt Conference - East,34.4
Mid-American Conference - West,33.8
Big 12 Conference,31.6
Big Ten Conference - West,30.8
Big Ten Conference - East,29.5
Mid-American Conference - East,27.8
Atlantic Coast Conference - Atlantic,27.3
Southeastern Conference - East,25.6
Atlantic Coast Conference - Coastal,25.1
American Athletic Conference,24.8
Pac-12 Conference - South,24.8
Mountain West Conference - West,24.4
Independent - East,21.8
Mountain West Conference - Mountain,21.2
Pac-12 Conference - North,18.0
Conference USA - West,16.1
Sun Belt Conference - West,16.0
Conference USA - East,15.6
FCS,1.0
