Division,Score
Southeastern Conference - West,43.1
Big Ten Conference - East,41.0
Southeastern Conference - East,39.1
Atlantic Coast Conference - Coastal,38.2
Big Ten Conference - West,37.8
Atlantic Coast Conference - Atlantic,36.6
Big 12 Conference,36.4
American Athletic Conference,35.9
Pac-12 Conference - North,34.7
Pac-12 Conference - South,33.6
Sun Belt Conference - East,32.8
Independent,32.3
Mountain West Conference - Mountain,32.1
Sun Belt Conference - West,27.8
Conference USA - East,26.8
Mid-American Conference - West,26.5
Mountain West Conference - West,24.7
Conference USA - West,24.4
Mid-American Conference - East,22.5
Independent - East,16.3
FCS,3.0
