Division,Score
Southeastern Conference - West,43.6
Big Ten Conference - East,40.8
Atlantic Coast Conference - Atlantic,40.1
Sun Belt Conference - East,38.8
Southeastern Conference - East,38.6
Independent,38.5
Big 12 Conference,37.1
Big Ten Conference - West,36.8
American Athletic Conference,36.4
Atlantic Coast Conference - Coastal,34.3
Pac-12 Conference - North,33.3
Pac-12 Conference - South,32.2
Mountain West Conference - Mountain,29.5
Mountain West Conference - West,28.6
Conference USA - East,26.5
Mid-American Conference - West,25.1
Sun Belt Conference - West,22.6
Conference USA - West,22.2
Mid-American Conference - East,21.1
Independent - East,14.9
FCS,2.8
