Division,Score
Independent,54.4
Sun Belt Conference - East,54.2
Atlantic Coast Conference - Atlantic,50.8
Pac-12 Conference - South,48.3
Atlantic Coast Conference - Coastal,46.2
Big 12 Conference,46.0
American Athletic Conference,45.4
Pac-12 Conference - North,42.8
Big Ten Conference - West,42.5
Mountain West Conference - West,40.2
Big Ten Conference - East,38.1
Conference USA - East,37.0
Mountain West Conference - Mountain,34.3
Independent - East,32.0
Conference USA - West,31.2
Sun Belt Conference - West,28.7
Mid-American Conference - West,26.6
Mid-American Conference - East,23.6
Southeastern Conference - West,20.9
Southeastern Conference - East,15.2
FCS,3.7
