Division,Score
Independent,37.4
Sun Belt Conference - East,36.3
Atlantic Coast Conference - Atlantic,34.9
Atlantic Coast Conference - Coastal,33.2
Big 12 Conference,31.2
American Athletic Conference,30.8
Mountain West Conference - West,25.4
Big Ten Conference - West,25.1
Southeastern Conference - West,24.4
Conference USA - East,23.6
Mid-American Conference - West,23.5
Pac-12 Conference - North,21.2
Mountain West Conference - Mountain,19.8
Mid-American Conference - East,18.3
Independent - East,18.3
Conference USA - West,18.3
Pac-12 Conference - South,17.4
Sun Belt Conference - West,17.4
Southeastern Conference - East,17.3
Big Ten Conference - East,14.4
FCS,1.4
