Division,Score
Southeastern Conference - West,37.8
Sun Belt Conference - East,34.4
Mid-American Conference - West,33.8
Independent,31.7
Big 12 Conference,31.4
Big Ten Conference - West,30.7
Big Ten Conference - East,29.4
Mid-American Conference - East,27.9
Atlantic Coast Conference - Atlantic,27.2
Southeastern Conference - East,25.6
Atlantic Coast Conference - Coastal,25.1
American Athletic Conference,24.8
Pac-12 Conference - South,24.6
Mountain West Conference - West,24.3
Mountain West Conference - Mountain,21.1
Independent - East,20.2
Pac-12 Conference - North,17.8
Conference USA - West,16.1
Sun Belt Conference - West,16.0
Conference USA - East,15.4
FCS,1.4
