Division,Score
Southeastern Conference - East,42.7
Southeastern Conference - West,42.4
Big Ten Conference - East,41.0
Atlantic Coast Conference - Atlantic,39.5
Atlantic Coast Conference - Coastal,39.5
Sun Belt Conference - East,39.1
Big 12 Conference,38.3
American Athletic Conference,38.0
Big Ten Conference - West,37.8
Independent,36.7
Mountain West Conference - Mountain,34.9
Pac-12 Conference - North,34.7
Pac-12 Conference - South,33.6
Conference USA - East,28.5
Mid-American Conference - West,26.5
Conference USA - West,25.0
Mountain West Conference - West,24.7
Sun Belt Conference - West,24.6
Mid-American Conference - East,22.5
Independent - East,16.3
FCS,2.1
