Division,Score
Pac-12 Conference - South,37.6
Independent,35.0
Sun Belt Conference - East,34.9
Pac-12 Conference - North,30.5
Atlantic Coast Conference - Atlantic,30.0
Southeastern Conference - West,29.8
Big 12 Conference,28.9
American Athletic Conference,27.9
Mid-American Conference - West,27.2
Atlantic Coast Conference - Coastal,27.1
Big Ten Conference - East,22.6
Mountain West Conference - West,22.6
Mid-American Conference - East,22.2
Independent - East,22.0
Big Ten Conference - West,21.8
Southeastern Conference - East,20.2
Mountain West Conference - Mountain,19.9
Conference USA - West,17.1
Conference USA - East,16.8
Sun Belt Conference - West,16.1
FCS,1.1
