Division,Score
Southeastern Conference - West,43.7
Atlantic Coast Conference - Coastal,41.4
Big Ten Conference - East,41.0
Southeastern Conference - East,40.8
Atlantic Coast Conference - Atlantic,38.4
Big 12 Conference,38.1
Big Ten Conference - West,37.8
Sun Belt Conference - East,37.4
American Athletic Conference,37.3
Independent,36.6
Mountain West Conference - Mountain,35.1
Pac-12 Conference - North,34.7
Pac-12 Conference - South,33.6
Conference USA - East,26.7
Mid-American Conference - West,26.5
Conference USA - West,26.2
Mountain West Conference - West,24.7
Sun Belt Conference - West,24.1
Mid-American Conference - East,22.5
Independent - East,16.3
FCS,2.1
