Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,62,40,-22,33.9,-13.1,12.7
florida,63,31,-32,33.0,-20.0,8.8
missouri,109,78,-31,15.6,-35.4,7.6
kentucky,118,91,-27,10.4,-37.0,10.6
tennessee,122,102,-20,8.8,-39.7,10.2
south-carolina,127,109,-18,5.0,-47.6,11.3
vanderbilt,131,129,-2,0.0,-64.0,11.2
alabama,32,6,-26,54.6,1.5,10.4
texas-am,69,36,-33,31.8,-20.3,6.8
auburn,104,57,-47,20.2,-29.3,12.5
louisiana-state,117,88,-29,10.4,-41.1,21.3
mississippi,113,80,-33,13.8,-36.4,7.0
mississippi-state,126,111,-15,5.3,-48.1,15.7
arkansas,119,96,-23,10.3,-39.2,7.7
buffalo,30,30,0,55.4,9.9,5.3
kent-state,85,29,-56,28.0,-19.2,14.3
miami-oh,83,99,16,28.1,-14.9,5.8
ohio,94,75,-19,25.7,-19.1,4.8
akron,129,122,-7,2.8,-52.6,23.5
bowling-green-state,130,126,-4,1.7,-57.2,14.9
ball-state,64,77,13,32.3,-12.4,3.2
toledo,91,39,-52,26.8,-10.5,20.3
western-michigan,50,16,-34,44.2,-5.0,16.1
central-michigan,58,50,-8,38.6,-2.2,10.5
eastern-michigan,124,110,-14,7.7,-33.1,8.8
northern-illinois,120,121,1,10.3,-22.7,7.2
oklahoma,10,9,-1,71.3,42.9,11.2
iowa-state,13,12,-1,70.2,37.4,10.6
oklahoma-state,22,24,2,61.8,28.7,9.1
texas,27,21,-6,56.9,33.6,8.8
texas-christian,45,54,9,46.0,27.9,7.1
west-virginia,35,34,-1,52.6,26.2,9.7
kansas-state,59,58,-1,36.8,15.8,5.8
texas-tech,82,71,-11,28.4,10.0,6.9
baylor,84,81,-3,28.0,12.9,5.2
kansas,123,123,0,8.0,-15.7,6.0
ohio-state,7,25,18,76.5,38.0,21.6
indiana,28,64,36,56.6,16.9,8.1
penn-state,102,116,14,21.8,8.6,19.8
maryland,76,83,7,30.5,-2.9,16.2
michigan,92,104,12,26.6,2.6,21.7
rutgers,89,117,28,27.1,3.7,9.0
michigan-state,86,127,41,27.8,-1.3,17.1
northwestern,21,15,-6,62.4,25.2,10.5
iowa,29,48,19,55.6,28.6,10.3
wisconsin,20,23,3,63.7,47.4,14.6
minnesota,80,98,18,29.0,1.2,23.8
nebraska,96,105,9,24.2,8.7,11.9
purdue,71,66,-5,31.3,6.4,6.4
illinois,72,93,21,31.3,6.3,11.2
clemson,4,4,0,87.1,49.2,12.0
notre-dame,1,1,0,97.9,51.7,12.7
north-carolina-state,31,33,2,54.8,21.2,11.9
boston-college,42,51,9,47.3,18.8,8.6
wake-forest,39,35,-4,50.8,29.1,12.8
louisville,74,60,-14,30.7,22.1,8.2
florida-state,97,87,-10,24.0,8.0,7.3
syracuse,114,112,-2,13.6,-0.5,6.3
miami-fl,8,8,0,74.5,35.4,11.3
north-carolina,23,10,-13,61.4,35.8,11.2
pittsburgh,49,41,-8,44.6,25.2,8.2
virginia-tech,51,47,-4,43.8,30.9,11.9
virginia,48,46,-2,45.0,26.1,9.9
georgia-tech,73,89,16,31.0,10.5,6.7
duke,100,73,-27,22.9,10.3,9.6
cincinnati,3,2,-1,93.4,48.2,15.0
tulsa,19,20,1,64.3,27.8,10.0
memphis,37,43,6,52.1,14.2,5.1
central-florida,24,26,2,59.3,32.4,8.5
southern-methodist,34,27,-7,52.6,17.9,7.0
houston,53,53,0,43.3,22.7,7.2
navy,81,72,-9,28.8,5.2,3.9
tulane,44,45,1,46.1,28.3,6.9
east-carolina,79,86,7,29.0,11.5,7.9
temple,108,115,7,15.6,-6.7,4.7
south-florida,111,113,2,14.5,-1.3,6.5
coastal-carolina,5,7,2,83.9,35.1,15.5
appalachian-state,17,22,5,64.7,29.5,7.3
georgia-southern,41,37,-4,49.2,22.1,10.4
georgia-state,55,56,1,42.7,15.3,7.5
troy,75,63,-12,30.7,2.5,6.6
louisiana-lafayette,11,17,6,71.0,28.4,6.5
south-alabama,87,90,3,27.7,0.7,7.2
arkansas-state,98,84,-14,23.6,2.2,4.9
texas-state,110,106,-4,15.4,-2.5,8.5
louisiana-monroe,125,128,3,5.9,-25.6,11.8
oregon,25,14,-11,58.1,28.9,9.8
washington,16,59,43,65.4,27.5,9.4
stanford,70,76,6,31.6,9.7,5.5
oregon-state,57,101,44,40.0,16.0,10.2
california,103,108,5,21.0,9.7,7.1
washington-state,56,65,9,40.9,17.9,2.6
southern-california,12,95,83,70.4,34.5,9.6
colorado,9,13,4,72.0,36.9,12.0
utah,77,131,54,30.5,27.6,18.7
arizona-state,52,100,48,43.4,44.5,9.7
ucla,38,52,14,51.5,39.1,11.6
arizona,101,125,24,22.2,13.7,9.3
boise-state,33,44,11,54.1,17.2,12.0
air-force,40,32,-8,50.1,36.3,11.4
wyoming,54,61,7,43.1,22.2,17.6
new-mexico,112,103,-9,14.4,0.7,18.5
colorado-state,88,92,4,27.6,0.3,5.6
utah-state,106,124,18,16.8,-13.6,11.9
san-jose-state,18,18,0,64.7,22.3,23.9
nevada,36,38,2,52.5,11.0,25.1
san-diego-state,47,42,-5,45.1,26.3,23.3
hawaii,68,85,17,32.0,-0.0,12.6
fresno-state,60,74,14,36.7,-5.3,5.6
nevada-las-vegas,116,118,2,10.4,-17.0,17.7
liberty,14,19,5,69.1,24.0,10.4
massachusetts,121,119,-2,9.6,-25.4,21.0
new-mexico-state,66,70,4,32.0,0.0,17.0
brigham-young,2,3,1,93.6,46.7,11.3
army,15,11,-4,67.7,33.8,9.3
connecticut,67,69,2,32.0,0.0,15.3
marshall,6,5,-1,82.0,36.2,10.7
florida-atlantic,26,28,2,57.5,18.1,6.0
western-kentucky,90,82,-8,26.9,-1.2,7.0
charlotte,78,67,-11,30.0,3.6,7.0
middle-tennessee-state,105,107,2,19.6,-13.1,8.8
florida-international,115,120,5,10.8,-15.2,6.2
old-dominion,65,68,3,32.0,0.0,13.4
alabama-birmingham,46,49,3,45.8,19.9,13.6
texas-san-antonio,43,55,12,46.5,13.6,10.7
louisiana-tech,61,62,1,36.3,2.5,4.6
north-texas,95,79,-16,24.3,-10.6,7.4
rice,99,97,-2,23.3,-9.6,6.9
southern-mississippi,107,114,7,16.4,-10.8,8.1
texas-el-paso,93,94,1,25.7,-7.4,11.5
fcs,128,130,2,3.7,-18.4,12.3
