Division,Score
Southeastern Conference - West,63.7
Pac-12 Conference - South,61.6
Sun Belt Conference - East,60.2
Independent,58.5
Atlantic Coast Conference - Atlantic,55.5
Big 12 Conference,53.0
Pac-12 Conference - North,51.3
Southeastern Conference - East,50.3
American Athletic Conference,50.1
Atlantic Coast Conference - Coastal,49.7
Mountain West Conference - West,46.1
Mountain West Conference - Mountain,41.7
Mid-American Conference - West,37.0
Conference USA - West,37.0
Independent - East,36.6
Conference USA - East,36.3
Mid-American Conference - East,35.5
Sun Belt Conference - West,32.6
Big Ten Conference - West,10.4
Big Ten Conference - East,9.6
FCS,4.3
