Division,Score
Sun Belt Conference - East,47.2
Independent,44.9
Atlantic Coast Conference - Atlantic,43.2
Big 12 Conference,39.8
Atlantic Coast Conference - Coastal,39.4
American Athletic Conference,38.4
Pac-12 Conference - South,38.1
Mountain West Conference - West,32.1
Mid-American Conference - West,29.9
Pac-12 Conference - North,29.8
Mountain West Conference - Mountain,28.3
Mid-American Conference - East,27.7
Conference USA - East,27.4
Conference USA - West,26.9
Independent - East,25.8
Big Ten Conference - West,24.7
Big Ten Conference - East,24.1
Sun Belt Conference - West,24.0
Southeastern Conference - West,21.0
Southeastern Conference - East,15.5
FCS,2.6
