Division,Score
Independent,34.7
Sun Belt Conference - East,33.6
Atlantic Coast Conference - Atlantic,32.1
Atlantic Coast Conference - Coastal,30.8
Mid-American Conference - West,29.0
Big 12 Conference,28.6
American Athletic Conference,27.3
Pac-12 Conference - South,27.0
Mountain West Conference - West,26.0
Mid-American Conference - East,22.7
Big Ten Conference - West,21.7
Southeastern Conference - West,21.4
Conference USA - East,20.9
Mountain West Conference - Mountain,17.9
Independent - East,16.7
Southeastern Conference - East,16.6
Conference USA - West,16.4
Sun Belt Conference - West,15.3
Pac-12 Conference - North,13.8
Big Ten Conference - East,12.0
FCS,1.2
