Conference,Score
Southeastern Conference,31.7
Big 12 Conference,31.4
Mid-American Conference,30.8
Big Ten Conference,30.1
Independent,29.8
Atlantic Coast Conference,26.2
Sun Belt Conference,25.2
American Athletic Conference,24.8
Mountain West Conference,22.7
Pac-12 Conference,21.2
Conference USA,15.7
FCS,1.4
