Division,Score
Southeastern Conference - West,41.5
Southeastern Conference - East,40.2
Big Ten Conference - East,39.5
Atlantic Coast Conference - Atlantic,39.0
Sun Belt Conference - East,37.8
Big 12 Conference,37.2
Independent,36.7
Big Ten Conference - West,36.3
American Athletic Conference,35.7
Atlantic Coast Conference - Coastal,35.3
Mountain West Conference - Mountain,33.3
Pac-12 Conference - North,33.2
Pac-12 Conference - South,32.1
Conference USA - East,26.9
Mid-American Conference - West,25.0
Conference USA - West,24.2
Mountain West Conference - West,23.2
Sun Belt Conference - West,22.6
Mid-American Conference - East,21.0
Independent - East,14.8
FCS,1.9
