Division,Score
Southeastern Conference - West,44.3
Atlantic Coast Conference - Coastal,42.1
Big Ten Conference - East,41.0
American Athletic Conference,39.7
Southeastern Conference - East,39.5
Big 12 Conference,38.0
Big Ten Conference - West,37.8
Atlantic Coast Conference - Atlantic,35.6
Independent,35.0
Pac-12 Conference - North,34.7
Pac-12 Conference - South,33.6
Sun Belt Conference - East,33.4
Mountain West Conference - Mountain,32.1
Conference USA - West,27.3
Mid-American Conference - West,26.5
Conference USA - East,26.1
Sun Belt Conference - West,25.8
Mountain West Conference - West,24.7
Mid-American Conference - East,22.5
Independent - East,16.3
FCS,2.7
