Division,Score
Pac-12 Conference - South,47.1
Independent,39.7
Pac-12 Conference - North,39.5
Sun Belt Conference - East,38.5
Mountain West Conference - West,33.9
Atlantic Coast Conference - Atlantic,33.1
Southeastern Conference - West,33.0
Big 12 Conference,31.5
Atlantic Coast Conference - Coastal,30.0
American Athletic Conference,29.6
Mountain West Conference - Mountain,27.5
Big Ten Conference - East,27.3
Mid-American Conference - West,26.6
Big Ten Conference - West,26.3
Independent - East,24.9
Southeastern Conference - East,22.8
Mid-American Conference - East,21.9
Conference USA - West,19.1
Sun Belt Conference - West,18.6
Conference USA - East,18.3
FCS,1.5
