Division,Score
Southeastern Conference - West,43.1
Big Ten Conference - East,41.0
Southeastern Conference - East,39.1
Big Ten Conference - West,37.8
Big 12 Conference,36.9
American Athletic Conference,36.8
Atlantic Coast Conference - Atlantic,36.5
Pac-12 Conference - North,34.7
Pac-12 Conference - South,33.6
Atlantic Coast Conference - Coastal,32.7
Mountain West Conference - Mountain,32.1
Sun Belt Conference - East,30.6
Conference USA - East,27.4
Mid-American Conference - West,26.5
Sun Belt Conference - West,25.3
Mountain West Conference - West,24.7
Conference USA - West,23.4
Mid-American Conference - East,22.5
Independent,21.7
Independent - East,16.3
FCS,11.3
