Division,Score
Mountain West Conference - West,62.0
Atlantic Coast Conference - Atlantic,49.7
Independent,49.2
Sun Belt Conference - East,48.6
Mountain West Conference - Mountain,46.9
Atlantic Coast Conference - Coastal,44.9
Big 12 Conference,42.6
American Athletic Conference,40.3
Big Ten Conference - East,37.4
Southeastern Conference - West,35.3
Conference USA - East,33.6
Pac-12 Conference - North,31.1
Pac-12 Conference - South,31.1
Mid-American Conference - East,31.1
Mid-American Conference - West,31.1
Independent - East,31.1
Southeastern Conference - East,30.9
Conference USA - West,27.8
Sun Belt Conference - West,26.4
Big Ten Conference - West,25.8
FCS,3.9
