Division,Score
Southeastern Conference - West,56.2
Sun Belt Conference - East,54.7
Mid-American Conference - West,50.3
Big 12 Conference,48.4
Big Ten Conference - West,47.0
Independent,46.7
Big Ten Conference - East,45.5
Mid-American Conference - East,44.1
Atlantic Coast Conference - Atlantic,43.9
Mountain West Conference - West,41.5
Pac-12 Conference - South,41.2
Atlantic Coast Conference - Coastal,40.9
American Athletic Conference,40.9
Southeastern Conference - East,40.0
Independent - East,38.1
Mountain West Conference - Mountain,35.1
Pac-12 Conference - North,33.6
Conference USA - West,31.5
Conference USA - East,30.1
Sun Belt Conference - West,28.9
FCS,4.6
