Conference,Score
Big Ten Conference,33.4
Independent,32.4
Big 12 Conference,31.5
Mid-American Conference,30.8
Southeastern Conference,30.7
Atlantic Coast Conference,26.4
Sun Belt Conference,25.2
American Athletic Conference,24.7
Mountain West Conference,22.7
Pac-12 Conference,21.3
Conference USA,15.8
FCS,1.0
