Division,Score
Independent,38.1
Sun Belt Conference - East,36.1
Atlantic Coast Conference - Atlantic,35.5
Atlantic Coast Conference - Coastal,33.1
Big 12 Conference,31.7
American Athletic Conference,28.3
Mountain West Conference - West,26.5
Southeastern Conference - West,25.3
Mid-American Conference - West,24.7
Conference USA - East,23.1
Big Ten Conference - East,20.6
Independent - East,20.2
Pac-12 Conference - North,20.2
Mountain West Conference - Mountain,19.9
Big Ten Conference - West,19.8
Southeastern Conference - East,19.4
Mid-American Conference - East,19.2
Conference USA - West,18.4
Sun Belt Conference - West,17.0
Pac-12 Conference - South,16.2
FCS,1.8
