Conference,Score
Southeastern Conference,41.9
American Athletic Conference,39.7
Big Ten Conference,39.4
Atlantic Coast Conference,38.6
Big 12 Conference,38.0
Pac-12 Conference,34.2
Independent,31.9
Sun Belt Conference,29.6
Mountain West Conference,28.4
Conference USA,26.7
Mid-American Conference,24.5
FCS,2.7
