Conference,Score
Southeastern Conference,39.5
Big 12 Conference,38.8
Big Ten Conference,36.0
Pac-12 Conference,34.4
Big East Conference,31.4
Atlantic Coast Conference,31.0
Independent,28.2
Mountain West Conference,26.8
Conference USA,21.6
Mid-American Conference,19.7
Western Athletic Conference,18.3
Sun Belt Conference,15.9
FCS,1.3
