Division,Score
Southeastern Conference - West,41.0
Big 12 Conference,37.2
Pac-12 Conference - North,36.7
Big Ten Conference - Legends,33.8
Big Ten Conference - Leaders,30.0
Southeastern Conference - East,29.7
Independent,29.5
Atlantic Coast Conference - Coastal,29.3
Big East Conference,28.4
Pac-12 Conference - South,26.5
Mountain West Conference,24.5
Mid-American Conference - West,23.4
Conference USA - West,23.4
Atlantic Coast Conference - Atlantic,23.0
Western Athletic Conference,17.8
Mid-American Conference - East,17.5
Conference USA - East,17.1
Sun Belt Conference,15.9
FCS,1.0
