Division,Score
Southeastern Conference - West,44.2
Pac-12 Conference - North,40.3
Big 12 Conference,39.2
Big Ten Conference - Leaders,39.1
Atlantic Coast Conference - Coastal,35.5
Big Ten Conference - Legends,34.8
Southeastern Conference - East,33.5
Big East Conference,32.8
Independent,30.3
Atlantic Coast Conference - Atlantic,27.7
Mountain West Conference,27.0
Pac-12 Conference - South,26.1
Conference USA - West,23.5
Mid-American Conference - West,21.8
Mid-American Conference - East,17.7
Western Athletic Conference,17.6
Conference USA - East,17.5
Sun Belt Conference,15.4
FCS,1.4
