Division,Score
Southeastern Conference - West,46.1
Big 12 Conference,41.7
Pac-12 Conference - North,40.8
Big Ten Conference - Leaders,37.8
Big Ten Conference - Legends,35.8
Atlantic Coast Conference - Coastal,35.7
Southeastern Conference - East,33.9
Big East Conference,32.6
Independent,31.8
Pac-12 Conference - South,29.1
Mountain West Conference,27.7
Conference USA - West,27.6
Atlantic Coast Conference - Atlantic,27.2
Mid-American Conference - West,25.3
Conference USA - East,20.2
Western Athletic Conference,19.7
Mid-American Conference - East,19.4
Sun Belt Conference,17.3
FCS,1.4
