Division,Score
Southeastern Conference - West,43.8
Pac-12 Conference - North,40.5
Big 12 Conference,40.0
Big Ten Conference - Leaders,38.7
Atlantic Coast Conference - Coastal,36.5
Big Ten Conference - Legends,36.3
Southeastern Conference - East,35.6
Big East Conference,33.3
Independent,31.3
Mountain West Conference,28.6
Atlantic Coast Conference - Atlantic,28.0
Pac-12 Conference - South,26.6
Conference USA - West,22.5
Mid-American Conference - West,21.3
Mid-American Conference - East,18.0
Conference USA - East,17.4
Western Athletic Conference,16.7
Sun Belt Conference,15.5
FCS,1.4
