Conference,Score
Southeastern Conference,32.9
Big East Conference,30.6
Big Ten Conference,29.3
Big 12 Conference,28.6
Pac-12 Conference,28.2
Atlantic Coast Conference,27.7
Independent,24.7
Mountain West Conference,20.4
Mid-American Conference,17.7
Western Athletic Conference,16.1
Conference USA,15.8
Sun Belt Conference,11.3
FCS,1.2
