Conference,Score
Big 12 Conference,42.8
Southeastern Conference,41.4
Big Ten Conference,38.4
Pac-12 Conference,36.0
Big East Conference,34.2
Atlantic Coast Conference,32.3
Independent,32.1
Mountain West Conference,28.9
Conference USA,24.8
Mid-American Conference,23.2
Western Athletic Conference,20.3
Sun Belt Conference,18.6
FCS,1.6
