Division,Score
Southeastern Conference - West,40.0
Big 12 Conference,36.8
Pac-12 Conference - North,34.5
Big Ten Conference - Legends,32.5
Southeastern Conference - East,28.9
Independent,28.8
Big Ten Conference - Leaders,28.8
Big East Conference,28.0
Atlantic Coast Conference - Coastal,27.0
Pac-12 Conference - South,25.0
Mountain West Conference,24.8
Conference USA - West,23.3
Mid-American Conference - West,22.9
Atlantic Coast Conference - Atlantic,22.2
Conference USA - East,17.3
Mid-American Conference - East,17.1
Western Athletic Conference,17.0
Sun Belt Conference,14.7
FCS,0.9
