Division,Score
Southeastern Conference - West,41.6
Big 12 Conference,37.6
Pac-12 Conference - North,34.8
Big Ten Conference - Legends,33.2
Big Ten Conference - Leaders,30.5
Southeastern Conference - East,29.2
Independent,28.9
Big East Conference,28.2
Atlantic Coast Conference - Coastal,27.3
Pac-12 Conference - South,25.1
Mountain West Conference,24.7
Atlantic Coast Conference - Atlantic,22.8
Mid-American Conference - West,22.7
Conference USA - West,22.7
Mid-American Conference - East,17.2
Conference USA - East,17.2
Western Athletic Conference,17.1
Sun Belt Conference,15.3
FCS,0.9
