Division,Score
Southeastern Conference - West,41.7
Big 12 Conference,39.1
Pac-12 Conference - North,36.8
Big Ten Conference - Legends,35.6
Atlantic Coast Conference - Coastal,33.7
Big Ten Conference - Leaders,33.2
Independent,30.9
Southeastern Conference - East,30.5
Big East Conference,30.1
Pac-12 Conference - South,28.3
Conference USA - West,26.0
Mountain West Conference,25.5
Atlantic Coast Conference - Atlantic,24.4
Mid-American Conference - West,24.3
Western Athletic Conference,18.8
Mid-American Conference - East,18.7
Conference USA - East,17.1
Sun Belt Conference,16.1
FCS,1.2
