Division,Score
Southeastern Conference - West,39.8
Big 12 Conference,39.5
Big Ten Conference - Leaders,39.2
Pac-12 Conference - North,37.3
Atlantic Coast Conference - Coastal,35.8
Southeastern Conference - East,35.2
Big Ten Conference - Legends,34.2
Big East Conference,31.8
Mountain West Conference,28.0
Pac-12 Conference - South,27.8
Independent,26.7
Atlantic Coast Conference - Atlantic,25.2
Conference USA - West,21.4
Mid-American Conference - East,19.8
Mid-American Conference - West,18.6
Western Athletic Conference,16.2
Conference USA - East,15.4
Sun Belt Conference,14.9
FCS,1.2
