Conference,Score
Big 12 Conference,40.0
Southeastern Conference,39.7
Big Ten Conference,37.5
Pac-12 Conference,33.5
Big East Conference,33.3
Atlantic Coast Conference,32.3
Independent,31.3
Mountain West Conference,28.6
Conference USA,20.0
Mid-American Conference,19.5
Western Athletic Conference,16.7
Sun Belt Conference,15.5
FCS,1.4
