Division,Score
Southeastern Conference - West,44.0
Big 12 Conference,40.3
Pac-12 Conference - North,39.1
Big Ten Conference - Legends,35.6
Big Ten Conference - Leaders,35.0
Atlantic Coast Conference - Coastal,33.5
Southeastern Conference - East,32.6
Independent,32.2
Big East Conference,31.2
Pac-12 Conference - South,27.8
Conference USA - West,26.8
Mountain West Conference,26.1
Atlantic Coast Conference - Atlantic,25.6
Mid-American Conference - West,24.7
Western Athletic Conference,19.3
Mid-American Conference - East,18.6
Conference USA - East,18.4
Sun Belt Conference,16.7
FCS,1.2
