Division,Score
Southeastern Conference - West,36.8
Big 12 Conference,36.1
Big Ten Conference - Leaders,35.7
Pac-12 Conference - North,34.9
Atlantic Coast Conference - Coastal,34.7
Southeastern Conference - East,31.4
Big Ten Conference - Legends,28.6
Big East Conference,28.0
Atlantic Coast Conference - Atlantic,26.7
Mountain West Conference,26.3
Pac-12 Conference - South,26.0
Independent,23.4
Conference USA - West,18.5
Mid-American Conference - West,18.0
Mid-American Conference - East,16.5
Conference USA - East,15.1
Western Athletic Conference,14.9
Sun Belt Conference,12.8
FCS,0.6
