Division,Score
Southeastern Conference - West,37.8
Big East Conference,30.6
Pac-12 Conference - North,30.5
Big Ten Conference - Leaders,30.2
Big 12 Conference,28.6
Big Ten Conference - Legends,28.4
Atlantic Coast Conference - Coastal,28.3
Southeastern Conference - East,27.9
Atlantic Coast Conference - Atlantic,27.0
Pac-12 Conference - South,25.8
Independent,24.7
Mid-American Conference - West,21.4
Mountain West Conference,20.4
Conference USA - East,18.5
Western Athletic Conference,16.1
Mid-American Conference - East,14.6
Conference USA - West,13.1
Sun Belt Conference,11.3
FCS,1.2
