Conference,Score
Big 12 Conference,39.1
Southeastern Conference,36.1
Big Ten Conference,34.4
Pac-12 Conference,32.5
Independent,30.9
Big East Conference,30.1
Atlantic Coast Conference,29.1
Mountain West Conference,25.5
Conference USA,21.6
Mid-American Conference,21.3
Western Athletic Conference,18.8
Sun Belt Conference,16.1
FCS,1.2
