Conference,Score
Big 12 Conference,37.5
Southeastern Conference,35.1
Big Ten Conference,31.6
Pac-12 Conference,30.9
Independent,29.2
Big East Conference,28.1
Atlantic Coast Conference,25.5
Mountain West Conference,24.9
Conference USA,20.3
Mid-American Conference,20.0
Western Athletic Conference,17.2
Sun Belt Conference,15.3
FCS,1.0
