Division,Score
Southeastern Conference - West,39.5
Pac-12 Conference - North,34.4
Southeastern Conference - East,31.5
Big Ten Conference - Leaders,31.2
Big 12 Conference,30.8
Atlantic Coast Conference - Coastal,30.2
Big Ten Conference - Legends,27.7
Big East Conference,26.8
Atlantic Coast Conference - Atlantic,25.7
Pac-12 Conference - South,23.9
Independent,23.4
Mountain West Conference,22.8
Mid-American Conference - West,20.4
Mid-American Conference - East,17.7
Conference USA - East,17.0
Western Athletic Conference,16.3
Conference USA - West,14.6
Sun Belt Conference,12.2
FCS,0.7
