Conference,Score
Big 12 Conference,36.8
Southeastern Conference,34.5
Big Ten Conference,30.6
Pac-12 Conference,29.8
Independent,28.8
Big East Conference,28.0
Mountain West Conference,24.8
Atlantic Coast Conference,24.6
Conference USA,20.3
Mid-American Conference,19.8
Western Athletic Conference,17.0
Sun Belt Conference,14.7
FCS,0.9
