Division,Score
Southeastern Conference - West,32.8
Pac-12 Conference - North,29.7
Big Ten Conference - Leaders,26.7
Pac-12 Conference - South,26.3
Atlantic Coast Conference - Atlantic,25.9
Independent,24.9
Southeastern Conference - East,24.4
Big Ten Conference - Legends,23.9
Atlantic Coast Conference - Coastal,23.7
Big East Conference,23.2
Big 12 Conference,22.8
Mountain West Conference,19.3
Western Athletic Conference,15.8
Conference USA - West,14.8
Conference USA - East,14.3
Mid-American Conference - West,14.1
Sun Belt Conference,10.5
Mid-American Conference - East,9.9
FCS,3.5
