Division,Score
Southeastern Conference - West,44.2
Pac-12 Conference - North,39.0
Big 12 Conference,38.3
Big Ten Conference - Leaders,38.0
Atlantic Coast Conference - Coastal,34.3
Big Ten Conference - Legends,33.5
Big East Conference,31.4
Southeastern Conference - East,31.3
Independent,29.8
Atlantic Coast Conference - Atlantic,26.6
Mountain West Conference,26.5
Pac-12 Conference - South,26.2
Conference USA - West,24.3
Mid-American Conference - West,22.1
Western Athletic Conference,17.4
Conference USA - East,16.9
Mid-American Conference - East,16.9
Sun Belt Conference,15.1
FCS,1.3
