Division,Score
Southeastern Conference - West,42.1
Big 12 Conference,39.1
Pac-12 Conference - North,38.1
Big Ten Conference - Legends,36.5
Atlantic Coast Conference - Coastal,32.4
Big Ten Conference - Leaders,32.2
Southeastern Conference - East,32.0
Independent,30.2
Big East Conference,29.9
Pac-12 Conference - South,28.1
Mountain West Conference,25.8
Conference USA - West,25.8
Mid-American Conference - West,24.8
Atlantic Coast Conference - Atlantic,24.0
Western Athletic Conference,19.1
Mid-American Conference - East,18.8
Conference USA - East,17.9
Sun Belt Conference,16.5
FCS,1.2
