Division,Score
Southeastern Conference - West,40.7
Big 12 Conference,37.5
Pac-12 Conference - North,36.1
Big Ten Conference - Legends,33.5
Big Ten Conference - Leaders,29.7
Southeastern Conference - East,29.4
Independent,29.2
Atlantic Coast Conference - Coastal,28.4
Big East Conference,28.1
Pac-12 Conference - South,25.6
Mountain West Conference,24.9
Conference USA - West,23.3
Mid-American Conference - West,23.2
Atlantic Coast Conference - Atlantic,22.7
Mid-American Conference - East,17.4
Conference USA - East,17.3
Western Athletic Conference,17.2
Sun Belt Conference,15.3
FCS,1.0
