Division,Score
Southeastern Conference - West,41.7
Big 12 Conference,37.5
Pac-12 Conference - North,34.8
Big Ten Conference - Legends,32.7
Southeastern Conference - East,29.5
Independent,29.0
Big Ten Conference - Leaders,28.9
Big East Conference,28.3
Atlantic Coast Conference - Coastal,27.3
Pac-12 Conference - South,25.2
Mountain West Conference,24.7
Atlantic Coast Conference - Atlantic,22.8
Conference USA - West,22.8
Mid-American Conference - West,22.6
Conference USA - East,17.3
Mid-American Conference - East,17.2
Western Athletic Conference,17.1
Sun Belt Conference,15.3
FCS,0.9
