Division,Score
Southeastern Conference - West,45.4
Pac-12 Conference - North,41.2
Big 12 Conference,38.8
Big Ten Conference - Leaders,37.5
Big Ten Conference - Legends,34.5
Atlantic Coast Conference - Coastal,33.7
Southeastern Conference - East,33.6
Big East Conference,31.4
Atlantic Coast Conference - Atlantic,28.4
Independent,28.2
Pac-12 Conference - South,27.7
Mountain West Conference,26.8
Conference USA - West,25.0
Mid-American Conference - West,23.1
Western Athletic Conference,18.3
Conference USA - East,18.2
Mid-American Conference - East,16.8
Sun Belt Conference,15.9
FCS,1.3
