Division,Score
Southeastern Conference - West,47.6
Big 12 Conference,42.8
Pac-12 Conference - North,42.1
Big Ten Conference - Leaders,38.7
Big Ten Conference - Legends,38.2
Atlantic Coast Conference - Coastal,36.6
Southeastern Conference - East,35.3
Big East Conference,34.2
Independent,32.1
Pac-12 Conference - South,29.8
Mountain West Conference,28.9
Atlantic Coast Conference - Atlantic,27.9
Conference USA - West,27.7
Mid-American Conference - West,26.9
Conference USA - East,21.8
Western Athletic Conference,20.3
Mid-American Conference - East,20.1
Sun Belt Conference,18.6
FCS,1.6
