Conference,Score
Southeastern Conference,33.9
Big 12 Conference,28.4
Pacific-10 Conference,27.4
Big Ten Conference,27.1
Atlantic Coast Conference,26.4
Big East Conference,23.7
Mountain West Conference,22.0
Independent,20.7
Western Athletic Conference,18.6
Conference USA,14.7
Mid-American Conference,12.5
Sun Belt Conference,11.2
FCS,0.6
