Division,Score
Southeastern Conference - West,33.3
Southeastern Conference - East,29.6
Big 12 Conference - South,29.3
Atlantic Coast Conference - Coastal,27.7
Big East Conference,26.8
Pacific-10 Conference,25.9
Big Ten Conference,24.7
Big 12 Conference - North,24.3
Independent,23.9
Atlantic Coast Conference - Atlantic,23.3
Mountain West Conference,21.1
Conference USA - East,20.0
Western Athletic Conference,17.2
Sun Belt Conference,14.6
Mid-American Conference - East,13.1
Mid-American Conference - West,12.9
Conference USA - West,12.4
FCS,2.3
