Division,Score
Southeastern Conference - West,46.3
Pacific-10 Conference,36.3
Big 12 Conference - South,33.9
Big Ten Conference,32.7
Atlantic Coast Conference - Coastal,28.1
Independent,28.1
Atlantic Coast Conference - Atlantic,28.1
Big 12 Conference - North,27.3
Southeastern Conference - East,26.7
Big East Conference,26.3
Mountain West Conference,25.2
Western Athletic Conference,24.8
Conference USA - East,17.2
Conference USA - West,16.7
Mid-American Conference - West,14.8
Mid-American Conference - East,13.4
Sun Belt Conference,10.5
FCS,1.3
