Division,Score
Southeastern Conference - West,45.9
Pacific-10 Conference,33.3
Big 12 Conference - South,32.5
Independent,30.0
Big Ten Conference,29.6
Atlantic Coast Conference - Atlantic,29.1
Big East Conference,25.2
Atlantic Coast Conference - Coastal,24.8
Southeastern Conference - East,24.3
Mountain West Conference,23.8
Western Athletic Conference,23.3
Big 12 Conference - North,22.7
Conference USA - East,15.7
Mid-American Conference - West,15.5
Conference USA - West,15.1
Mid-American Conference - East,10.4
Sun Belt Conference,9.2
FCS,1.0
