Division,Score
Southeastern Conference - West,46.7
Pacific-10 Conference,35.5
Big 12 Conference - South,34.7
Big Ten Conference,33.8
Big 12 Conference - North,31.5
Atlantic Coast Conference - Atlantic,29.9
Southeastern Conference - East,29.0
Big East Conference,28.0
Atlantic Coast Conference - Coastal,27.9
Independent,26.8
Mountain West Conference,25.3
Western Athletic Conference,24.1
Conference USA - West,16.7
Conference USA - East,16.7
Mid-American Conference - West,14.3
Mid-American Conference - East,12.1
Sun Belt Conference,10.4
FCS,1.4
