Division,Score
Southeastern Conference - West,45.4
Pacific-10 Conference,35.3
Big 12 Conference - South,34.8
Big Ten Conference,34.0
Big 12 Conference - North,31.9
Atlantic Coast Conference - Atlantic,29.2
Southeastern Conference - East,28.1
Atlantic Coast Conference - Coastal,27.6
Big East Conference,26.0
Mountain West Conference,24.5
Western Athletic Conference,23.0
Independent,22.6
Conference USA - West,18.7
Conference USA - East,16.5
Mid-American Conference - West,14.0
Mid-American Conference - East,12.8
Sun Belt Conference,9.4
FCS,1.4
