Division,Score
Southeastern Conference - West,46.3
Pacific-10 Conference,35.3
Big 12 Conference - South,33.1
Big Ten Conference,32.2
Independent,30.2
Atlantic Coast Conference - Atlantic,29.0
Atlantic Coast Conference - Coastal,27.5
Southeastern Conference - East,26.8
Big 12 Conference - North,26.6
Big East Conference,26.0
Western Athletic Conference,24.6
Mountain West Conference,23.7
Conference USA - East,16.9
Conference USA - West,16.1
Mid-American Conference - West,14.8
Mid-American Conference - East,12.6
Sun Belt Conference,10.0
FCS,1.2
