Division,Score
Southeastern Conference - West,45.5
Pacific-10 Conference,34.7
Big 12 Conference - South,33.9
Big Ten Conference,31.5
Independent,29.4
Atlantic Coast Conference - Atlantic,28.8
Southeastern Conference - East,27.3
Atlantic Coast Conference - Coastal,25.9
Big 12 Conference - North,25.6
Big East Conference,25.1
Western Athletic Conference,24.4
Mountain West Conference,23.7
Conference USA - East,16.7
Mid-American Conference - West,15.7
Conference USA - West,15.3
Mid-American Conference - East,11.3
Sun Belt Conference,9.0
FCS,1.1
