Division,Score
Southeastern Conference - West,47.1
Big 12 Conference - South,37.7
Pacific-10 Conference,36.2
Big Ten Conference,34.0
Big 12 Conference - North,30.6
Atlantic Coast Conference - Coastal,30.0
Atlantic Coast Conference - Atlantic,29.7
Independent,29.6
Southeastern Conference - East,28.7
Big East Conference,28.4
Mountain West Conference,25.9
Western Athletic Conference,24.8
Conference USA - East,19.4
Conference USA - West,16.8
Mid-American Conference - West,14.6
Mid-American Conference - East,12.9
Sun Belt Conference,11.2
FCS,1.6
