Conference,Score
Southeastern Conference,31.5
Big 12 Conference,26.8
Big East Conference,26.8
Pacific-10 Conference,25.9
Atlantic Coast Conference,25.5
Big Ten Conference,24.7
Independent,23.9
Mountain West Conference,21.1
Western Athletic Conference,17.2
Conference USA,16.2
Sun Belt Conference,14.6
Mid-American Conference,13.0
FCS,2.3
