Division,Score
Southeastern Conference - West,43.8
Pacific-10 Conference,33.6
Big 12 Conference - South,32.9
Big Ten Conference,31.1
Big 12 Conference - North,27.8
Atlantic Coast Conference - Atlantic,27.5
Atlantic Coast Conference - Coastal,27.1
Independent,27.1
Southeastern Conference - East,26.2
Big East Conference,25.5
Mountain West Conference,23.6
Western Athletic Conference,22.8
Conference USA - East,17.2
Conference USA - West,14.7
Mid-American Conference - West,13.6
Mid-American Conference - East,11.2
Sun Belt Conference,9.5
FCS,1.1
