Conference,Score
Southeastern Conference,37.9
Pacific-10 Conference,35.5
Big Ten Conference,33.8
Big 12 Conference,33.1
Atlantic Coast Conference,28.9
Big East Conference,28.0
Independent,26.8
Mountain West Conference,25.3
Western Athletic Conference,24.1
Conference USA,16.7
Mid-American Conference,13.1
Sun Belt Conference,10.4
FCS,1.4
