Conference,Score
Southeastern Conference,33.9
Pacific-10 Conference,33.7
Big Ten Conference,30.3
Independent,29.7
Big 12 Conference,28.9
Atlantic Coast Conference,26.8
Big East Conference,24.5
Western Athletic Conference,24.0
Mountain West Conference,23.4
Conference USA,15.1
Mid-American Conference,12.8
Sun Belt Conference,8.4
FCS,1.0
